,0
date_id,1060.0
time_id,467.0
symbol_id,17.0
weight,1.7488068342208862
feature_00,0.4054327607154846
feature_01,0.00814053788781166
feature_02,0.4067288339138031
feature_03,0.4057824909687042
feature_04,0.002212054096162319
feature_05,-0.05669534578919411
feature_06,-0.00923762284219265
feature_07,-0.033671360462903976
feature_08,0.06728406250476837
feature_09,30.0
feature_10,4.0
feature_11,76.0
feature_12,-0.24161480367183685
feature_13,-0.25071901082992554
feature_14,-0.26325884461402893
feature_15,-0.49406713247299194
feature_16,-0.43922847509384155
feature_17,-0.48527422547340393
feature_18,0.013578161597251892
feature_19,-0.020193342119455338
feature_20,-0.203135147690773
feature_21,-0.07142406702041626
feature_22,-0.09112244844436646
feature_23,-0.07482529431581497
feature_24,0.3592380881309509
feature_25,-0.09255097806453705
feature_26,-0.038511961698532104
feature_27,-0.3068404495716095
feature_28,-0.20419403910636902
feature_29,-0.49187028408050537
feature_30,-0.5223206877708435
feature_31,-0.07060982286930084
feature_32,0.37623289227485657
feature_33,-0.014650250785052776
feature_34,0.3861934542655945
feature_35,0.3860224783420563
feature_36,0.000921873259358108
feature_37,0.005813112948089838
feature_38,0.02803431823849678
feature_39,-0.0042581395246088505
feature_40,0.026653874665498734
feature_41,0.017696743831038475
feature_42,-0.022444836795330048
feature_43,-0.07513515651226044
feature_44,-0.06354404985904694
feature_45,0.022223476320505142
feature_46,-0.02313227765262127
feature_47,0.009969756007194519
feature_48,-0.0033738063648343086
feature_49,-0.001468798378482461
feature_50,-0.07726198434829712
feature_51,-0.17237649857997894
feature_52,-0.1266557276248932
feature_53,0.08420471101999283
feature_54,0.10235480219125748
feature_55,0.11529122292995453
feature_56,-0.01653895527124405
feature_57,0.020854881033301353
feature_58,0.005476600956171751
feature_59,-0.003277597716078162
feature_60,0.0002527934266254306
feature_61,0.03493018075823784
feature_62,-0.2999051809310913
feature_63,-0.2761273682117462
feature_64,-0.28930744528770447
feature_65,-0.027576792985200882
feature_66,-0.044270239770412445
feature_67,-0.2534027695655823
feature_68,-0.2295314222574234
feature_69,-0.26193681359291077
feature_70,-0.22916151583194733
feature_71,-0.2394445538520813
feature_72,-0.258424311876297
feature_73,-0.221888929605484
feature_74,-0.21464519202709198
feature_75,-0.22552326321601868
feature_76,-0.2156924307346344
feature_77,-0.20280131697654724
feature_78,-0.19479411840438843
responder_0,-0.0045794653706252575
responder_1,-0.02381329983472824
responder_2,-0.0007981675444170833
responder_3,-0.025910966098308563
responder_4,-0.04451088607311249
responder_5,-0.009536301717162132
responder_6,-0.02556549571454525
responder_7,-0.03894171118736267
responder_8,-0.008485727943480015
